C,A,dC_dt,dA_dt,T_star,R_star,L_star,M_star,f_ras
0.575,0.175,-0.0849804,0.539025,8.54167,0.582524,0.291667,0.111979,1
0.6,0.175,-0.0909687,0.56295,8.875,0.590554,0.291667,0.117357,1
0.625,0.175,-0.0970986,0.586875,9.20833,0.597917,0.291667,0.122408,1
0.65,0.175,-0.10336,0.6108,9.54167,0.604679,0.291667,0.127145,1
0.675,0.175,-0.109742,0.634725,9.875,0.610901,0.291667,0.131585,1
0.7,0.175,-0.116235,0.65865,10.2083,0.616635,0.291667,0.135745,1
0.725,0.175,-0.122829,0.682575,10.5417,0.621927,0.291667,0.139641,1
0.75,0.175,-0.129517,0.7065,10.875,0.626819,0.291667,0.143291,1
0.775,0.175,-0.136289,0.730425,11.2083,0.631349,0.291667,0.14671,1
0.8,0.175,-0.143138,0.75435,11.5417,0.63555,0.291667,0.149915,1
0.825,0.175,-0.150058,0.778275,11.875,0.639452,0.291667,0.15292,1
0.85,0.175,-0.157042,0.8022,12.2083,0.643081,0.291667,0.15574,1
0.875,0.175,-0.164084,0.826125,12.5417,0.646461,0.291667,0.158387,1
0.9,0.175,-0.171179,0.85005,12.875,0.649613,0.291667,0.160873,1
0.925,0.175,-0.178322,0.873975,13.2083,0.652558,0.291667,0.163211,1
0.95,0.175,-0.185509,0.8979,13.5417,0.655311,0.291667,0.16541,1
0.975,0.175,-0.192736,0.921825,13.875,0.65789,0.291667,0.16748,1
1,0.175,-0.2,0.94575,14.2083,0.660307,0.291667,0.169432,1
0,0.2,0.0300289,-0.02,1,0.0408097,0.333333,5.35037e-06,1
0.025,0.2,0.024326,0.0032,1.33333,0.0694637,0.333333,4.491e-05,1
0.05,0.2,0.0186806,0.0264,1.66667,0.102908,0.333333,0.000216277,1
0.075,0.2,0.0131504,0.0496,2,0.139353,0.333333,0.000726793,1
0.1,0.2,0.00781596,0.0728,2.33333,0.177192,0.333333,0.00189706,1
0.125,0.2,0.00276322,0.096,2.66667,0.2151,0.333333,0.00410829,1
0.15,0.2,-0.00194214,0.1192,3,0.252073,0.333333,0.00771312,1
